nbId,Taille(cm),Poids(kg)
5542,167,53.5
5543,180,66.0
5544,172,57.0
5545,170,53.0
5546,173,51.5
5547,173,67.5
5548,174,50.0
5549,172,54.5
5550,171,56.0
5551,172,61.0
5552,174,63.0
5553,173,58.0
5554,171,54.0
5555,174,58.0
5556,177,57.0
5557,177,57.5
5558,177,69.0
5559,178,62.5
5560,175,54.0
5561,169,55.5
5562,174,62.0
5563,172,62.0
5564,171,56.0
5565,170,49.0
5566,166,61.5
5567,175,59.0
5568,171,49.0
5569,179,68.5
5570,169,63.5
5571,164,52.5
5572,171,51.0
5573,177,71.0
5574,174,58.0
5575,173,59.5
5576,180,61.5
5577,179,55.5
5578,178,53.5
5579,168,46.0
5580,172,53.0
5581,176,57.5
5582,176,63.5
5583,171,60.5
5584,168,50.5
5585,171,52.5
5586,174,55.5
5587,184,71.5
5588,171,58.5
5589,167,55.5
5590,167,60.0
5591,171,60.5
5592,170,51.0
5593,171,55.5
5594,169,49.5
5595,176,55.5
5596,178,68.0
5597,177,64.0
5598,170,63.5
5599,166,52.0
5600,186,58.0
5601,166,57.0
5602,183,64.5
5603,172,55.0
5604,181,68.0
5605,177,63.0
5606,174,52.5
5607,174,61.5
5608,176,66.5
5609,168,60.0
5610,172,62.5
5611,168,49.0
5612,164,56.5
5613,175,50.5
5614,178,59.0
5615,166,57.5
5616,170,59.0
5617,183,70.0
5618,174,59.5
5619,166,52.0
5620,180,57.5
5621,176,57.0
5622,173,57.0
5623,172,53.5
5624,176,57.0
5625,167,51.0
5626,178,69.0
5627,172,56.5
5628,175,59.5
5629,167,54.0
5630,184,60.0
5631,173,58.5
5632,177,59.0
5633,175,60.0
5634,177,53.5
5635,173,49.5
5636,170,57.5
5637,170,55.5
5638,168,54.0
5639,171,57.0
5640,172,55.5
5641,170,55.0
5642,155,48.0
5643,168,49.0
5644,167,55.5
5645,175,53.0
5646,173,64.0
5647,179,67.5
5648,165,57.0
5649,166,59.5
5650,174,55.0
5651,169,56.0
5652,170,65.0
5653,174,56.0
5654,172,53.5
5655,181,60.5
5656,168,52.5
5657,172,53.5
5658,179,60.5
5659,167,50.5
5660,172,61.0
5661,179,64.5
5662,171,58.5
5663,172,57.5
5664,171,52.5
5665,173,62.0
5666,178,63.5
5667,172,60.0
5668,163,59.5
5669,167,49.5
5670,184,62.5
5671,174,60.0
5672,175,57.5
5673,170,60.5
5674,173,62.0
5675,176,61.5
5676,167,59.0
5677,176,61.0
5678,175,60.5
5679,169,50.0
5680,170,60.0
5681,181,57.5
5682,173,56.5
5683,177,66.5
5684,178,64.0
5685,172,60.5
5686,172,62.5
5687,176,62.5
5688,173,62.0
5689,177,68.0
5690,178,62.5
5691,175,51.5
5692,175,59.5
5693,175,57.0
5694,175,51.5
5695,173,54.0
5696,165,52.0
5697,174,56.0
5698,174,61.5
5699,174,44.5
5700,172,59.0
5701,169,63.0
5702,168,57.0
5703,173,54.0
5704,174,50.0
5705,169,54.5
5706,160,39.5
5707,175,64.5
5708,179,61.5
5709,166,59.0
5710,178,64.0
5711,184,57.0
5712,175,59.5
5713,178,58.5
5714,169,49.0
5715,178,63.0
5716,175,66.0
5717,166,57.0
5718,180,57.5
5719,166,54.0
5720,172,56.0
5721,176,58.5
5722,176,64.5
5723,162,49.5
5724,173,53.5
5725,178,64.0
5726,178,62.0
5727,168,47.5
5728,181,58.0
5729,169,61.0
5730,170,64.0
5731,178,58.0
5732,167,50.5
5733,173,51.0
5734,165,53.5
5735,170,60.5
5736,171,54.5
5737,163,52.5
5738,176,59.5
5739,172,55.0
5740,166,55.0
5741,181,59.0
5742,171,58.0
5743,166,52.5
5744,173,58.0
5745,169,61.0
5746,173,59.5
5747,171,53.0
5748,175,53.0
5749,174,57.5
5750,164,52.0
5751,168,52.0
5752,177,59.5
5753,174,62.5
5754,181,61.5
5755,171,62.5
5756,165,51.5
5757,171,50.5
5758,180,62.5
5759,170,57.5
5760,171,61.5
5761,176,58.5
5762,176,63.5
5763,165,46.0
5764,172,60.0
5765,176,61.0
5766,172,63.0
5767,187,71.0
5768,173,58.0
5769,167,57.0
5770,175,60.5
5771,177,61.0
5772,179,52.0
5773,171,52.0
5774,175,60.5
5775,173,60.5
5776,170,62.5
5777,173,53.5
5778,183,60.5
5779,173,58.0
5780,171,60.5
5781,180,69.0
5782,173,59.5
5783,172,53.0
5784,170,59.0
5785,174,55.5
5786,174,54.0
5787,179,61.5
5788,164,46.0
5789,178,63.5
5790,166,55.5
5791,179,65.0
5792,178,54.5
5793,176,59.0
5794,175,64.5
5795,177,68.5
5796,173,57.0
5797,169,60.0
5798,169,49.5
5799,175,49.0
5800,170,51.5
5801,176,57.0
5802,176,61.5
5803,168,57.0
5804,166,54.5
5805,166,56.5
5806,170,59.5
5807,178,59.5
5808,168,56.0
5809,174,57.0
5810,177,61.5
5811,172,61.5
5812,169,58.0
5813,172,53.5
5814,168,55.0
5815,171,55.5
5816,176,55.0
5817,168,56.5
5818,167,51.5
5819,180,66.0
5820,174,56.5
5821,174,48.0
5822,170,52.0
5823,173,53.0
5824,179,62.5
5825,169,55.0
5826,177,63.0
5827,173,62.5
5828,175,58.5
5829,171,64.0
5830,174,65.5
5831,169,58.0
5832,175,57.5
5833,176,59.5
5834,169,57.0
5835,170,55.5
5836,175,66.0
5837,164,51.5
5838,175,65.0
5839,175,60.5
5840,169,51.5
5841,174,48.0
5842,158,42.0
5843,175,58.5
5844,182,58.5
5845,168,50.0
5846,177,59.5
5847,171,63.5
5848,171,51.0
5849,171,61.5
5850,178,61.5
5851,172,60.0
5852,176,56.0
5853,174,57.5
5854,182,61.5
5855,168,56.5
5856,170,50.0
5857,173,60.0
5858,179,67.0
5859,170,58.5
5860,164,55.5
5861,172,58.5
5862,173,57.0
5863,177,56.5
5864,171,53.0
5865,167,52.5
5866,177,56.5
5867,162,53.5
5868,170,53.0
5869,171,65.5
5870,165,66.5
5871,176,55.5
5872,168,54.0
5873,174,55.0
5874,176,73.5
5875,174,56.0
5876,179,60.0
5877,172,57.5
5878,175,59.5
5879,170,55.0
5880,171,58.0
5881,173,67.0
5882,177,64.0
5883,169,52.5
5884,168,52.0
5885,168,56.5
5886,178,56.0
5887,168,54.5
5888,175,56.5
5889,176,58.5
5890,181,65.0
5891,163,61.0
5892,181,69.0
5893,170,54.5
5894,169,54.0
5895,169,56.0
5896,179,66.0
5897,167,55.5
5898,169,60.5
5899,164,51.5
5900,171,56.5
5901,172,63.5
5902,167,51.0
5903,177,61.5
5904,177,57.0
5905,168,55.0
5906,177,61.0
5907,176,59.0
5908,176,61.5
5909,167,52.5
5910,167,53.0
5911,177,63.0
5912,172,54.0
5913,168,60.0
5914,167,50.5
5915,170,64.5
5916,175,54.5
5917,169,50.0
5918,169,57.5
5919,172,60.0
5920,173,53.0
5921,170,53.0
5922,175,56.5
5923,175,59.0
5924,180,62.5
5925,177,60.5
5926,168,48.5
5927,168,50.0
5928,178,68.0
5929,172,53.5
5930,171,57.0
5931,171,51.5
5932,181,63.5
5933,178,69.0
5934,172,53.5
5935,176,58.5
5936,166,54.5
5937,166,51.0
5938,180,59.0
5939,166,51.0
5940,166,49.0
5941,165,58.0
5942,165,54.0
5943,168,50.0
5944,178,59.0
5945,174,61.5
5946,171,60.5
5947,177,60.0
5948,169,50.5
5949,175,49.5
5950,172,56.0
5951,172,59.5
5952,171,60.0
5953,174,51.5
5954,177,56.0
5955,171,50.5
5956,180,64.0
5957,164,51.0
5958,171,54.0
5959,174,62.5
5960,178,58.0
5961,179,50.5
5962,172,61.5
5963,168,56.0
5964,170,55.0
5965,171,60.0
5966,173,60.0
5967,169,64.5
5968,175,56.0
5969,173,58.5
5970,174,67.0
5971,177,59.5
5972,166,54.0
5973,174,46.5
5974,168,53.5
5975,181,62.0
5976,166,48.0
5977,179,63.5
5978,172,56.0
5979,176,56.0
5980,167,55.5
5981,171,53.5
5982,174,62.5
5983,177,61.0
5984,175,53.5
5985,176,59.0
5986,174,60.5
5987,168,51.5
5988,183,56.5
5989,174,58.5
5990,168,45.5
5991,164,55.0
5992,178,57.5
5993,175,65.5
5994,177,60.0
5995,171,62.5
5996,182,64.0
5997,172,63.5
5998,175,58.0
5999,170,54.0
6000,174,55.0
6001,165,53.0
6002,173,63.5
6003,172,62.5
6004,176,56.5
6005,170,57.5
6006,171,53.5
6007,178,60.0
6008,171,56.0
6009,163,63.0
6010,169,56.0
6011,178,55.5
6012,171,55.0
6013,178,62.0
6014,175,56.0
6015,170,49.0
6016,165,59.0
6017,167,49.5
6018,164,52.5
6019,159,49.5
6020,172,56.5
6021,173,60.5
6022,167,53.5
6023,171,54.5
6024,172,59.5
6025,178,59.0
6026,168,55.0
6027,172,66.0
6028,165,61.0
6029,165,48.0
6030,165,51.0
6031,178,62.0
6032,180,64.5
6033,170,56.0
6034,171,55.0
6035,170,61.5
6036,174,67.5
6037,184,65.5
6038,169,63.0
6039,170,49.5
6040,178,61.5
6041,171,51.5
6042,170,67.5
6043,174,65.5
6044,168,52.0
6045,170,52.0
6046,175,55.5
6047,175,60.5
6048,167,60.0
6049,166,54.5
6050,176,66.0
6051,177,59.5
6052,172,54.0
6053,184,60.5
6054,171,47.5
6055,175,53.5
6056,174,66.0
6057,173,61.5
6058,177,58.5
6059,170,68.0
6060,179,61.0
6061,182,65.5
6062,174,60.0
6063,178,68.0
6064,173,60.0
6065,171,60.5
6066,179,67.0
6067,172,45.5
6068,183,63.5
6069,171,55.0
6070,170,49.5
6071,171,62.0
6072,168,52.0
6073,163,59.0
6074,172,60.0
6075,180,57.0
6076,174,67.5
6077,181,58.5
6078,166,54.5
6079,171,56.0
6080,173,53.5
6081,171,48.5
6082,172,54.5
6083,171,61.0
6084,177,59.0
6085,172,59.0
6086,165,48.5
6087,175,57.5
6088,172,52.5
6089,180,59.0
6090,174,50.5
6091,161,54.5
6092,170,51.5
6093,168,53.5
6094,169,61.5
6095,174,50.5
6096,173,58.5
6097,167,53.0
6098,174,58.5
6099,170,62.5
6100,169,61.5
6101,171,51.0
6102,170,65.0
6103,180,62.0
6104,164,51.5
6105,169,55.0
6106,173,59.0
6107,168,60.5
6108,175,69.5
6109,172,56.0
6110,168,47.5
6111,182,65.5
6112,177,71.0
6113,172,50.5
6114,165,57.0
6115,174,55.0
6116,174,59.0
6117,172,52.5
6118,172,57.0
6119,179,75.0
6120,168,60.5
6121,174,66.0
6122,178,61.5
6123,176,59.0
6124,161,51.5
6125,174,53.5
6126,167,56.0
6127,168,56.5
6128,174,59.5
6129,174,69.0
6130,171,54.0
6131,175,51.0
6132,167,58.0
6133,171,54.5
6134,171,47.5
6135,182,54.0
6136,174,57.0
6137,175,59.5
6138,179,57.0
6139,174,53.5
6140,180,59.0
6141,173,57.5
6142,176,58.5
6143,172,61.0
6144,175,68.5
6145,175,60.0
6146,163,59.5
6147,176,69.0
6148,175,55.5
6149,176,57.5
6150,186,67.0
6151,175,49.5
6152,166,58.0
6153,172,59.0
6154,174,56.5
6155,178,72.0
6156,179,59.0
6157,171,65.5
6158,183,62.0
6159,164,48.0
6160,175,60.0
6161,173,59.0
6162,185,55.0
6163,173,58.0
6164,179,59.0
6165,166,57.0
6166,166,50.0
6167,167,50.0
6168,166,58.0
6169,178,60.0
6170,169,58.0
6171,176,60.5
6172,175,56.5
6173,175,55.5
6174,171,58.0
6175,174,64.5
6176,179,61.5
6177,174,65.0
6178,180,63.0
6179,177,55.0
6180,167,58.5
6181,166,44.0
6182,173,58.0
6183,178,56.0
6184,173,61.0
6185,175,53.0
6186,171,54.0
6187,179,57.0
6188,182,72.0
6189,169,53.0
6190,165,61.0
6191,164,58.5
6192,175,59.5
6193,166,50.0
6194,168,50.0
6195,177,63.0
6196,165,52.5
6197,172,55.5
6198,175,65.0
6199,165,43.0
6200,178,59.5
6201,172,67.5
6202,171,59.5
6203,177,68.5
6204,181,65.5
6205,171,60.0
6206,174,54.5
6207,178,53.0
6208,169,53.0
6209,175,59.5
6210,175,56.0
6211,175,54.5
6212,178,57.5
6213,177,62.0
6214,176,59.5
6215,175,60.0
6216,178,60.0
6217,174,60.5
6218,172,55.0
6219,178,60.5
6220,173,64.5
6221,170,60.5
6222,171,54.5
6223,176,58.5
6224,161,55.0
6225,174,59.0
6226,168,59.5
6227,170,62.0
6228,171,51.5
6229,169,60.5
6230,173,60.5
6231,168,61.5
6232,167,55.5
6233,172,56.5
6234,176,57.5
6235,181,57.5
6236,175,57.0
6237,175,58.5
6238,167,55.0
6239,177,65.0
6240,176,58.5
6241,168,58.5
6242,169,49.5
6243,166,58.5
6244,174,60.0
6245,176,57.0
6246,174,59.5
6247,177,69.5
6248,174,61.5
6249,178,61.5
6250,171,57.5
6251,173,68.5
6252,172,55.0
6253,174,65.5
6254,168,67.5
6255,167,44.5
6256,174,61.0
6257,172,41.5
6258,173,58.5
6259,162,53.0
6260,166,58.5
6261,180,61.5
6262,168,54.5
6263,168,60.0
6264,178,59.0
6265,174,61.5
6266,175,54.0
6267,175,59.5
6268,176,54.0
6269,175,65.0
6270,175,64.5
6271,172,57.0
6272,177,66.5
6273,170,58.5
6274,165,45.5
6275,171,59.5
6276,160,51.0
6277,175,53.0
6278,174,60.0
6279,169,56.0
6280,174,56.0
6281,170,56.0
6282,177,59.0
6283,175,58.5
6284,175,59.5
6285,170,50.5
6286,171,55.0
6287,168,58.0
6288,177,63.5
6289,168,53.5
6290,170,63.0
6291,178,60.0
6292,173,66.0
6293,172,64.0
6294,182,66.5
6295,182,62.0
6296,172,62.0
6297,174,58.5
6298,175,53.0
6299,170,64.0
6300,166,57.5
6301,166,54.5
6302,175,50.5
6303,172,53.5
6304,181,54.0
6305,169,60.0
6306,177,64.0
6307,176,63.0
6308,180,65.0
6309,172,59.0
6310,167,53.5
6311,171,61.5
6312,177,58.0
6313,172,55.0
6314,171,59.0
6315,171,53.5
6316,171,54.0
6317,169,53.0
6318,174,64.5
6319,171,55.5
6320,160,51.5
6321,162,59.5
6322,166,47.5
6323,163,48.0
6324,168,47.0
6325,167,57.0
6326,172,57.0
6327,177,59.5
6328,168,51.0
6329,168,55.0
6330,166,54.0
6331,172,65.5
6332,173,54.0
6333,180,62.5
6334,170,55.5
6335,178,66.0
6336,176,64.0
6337,173,52.5
6338,170,63.0
6339,175,51.0
6340,174,59.5
6341,175,61.0
6342,177,52.5
6343,181,71.5
6344,169,57.5
6345,174,60.0
6346,168,50.5
6347,171,53.0
6348,164,39.0
6349,171,57.5
6350,171,57.0
6351,172,57.0
6352,165,55.5
6353,179,63.0
6354,178,56.5
6355,173,63.0
6356,178,60.5
6357,171,52.5
6358,172,58.0
6359,183,65.5
6360,178,59.5
6361,175,61.0
6362,175,56.0
6363,170,50.5
6364,177,60.0
6365,163,42.0
6366,182,69.5
6367,175,69.5
6368,170,58.0
6369,164,51.5
6370,178,64.5
6371,176,66.0
6372,175,64.0
6373,171,48.0
6374,173,48.0
6375,178,63.5
6376,170,55.5
6377,164,59.5
6378,173,61.5
6379,178,69.5
6380,170,51.5
6381,179,63.5
6382,174,66.5
6383,178,64.0
6384,174,58.0
6385,181,74.5
6386,172,59.0
6387,162,53.0
6388,171,61.5
6389,173,58.5
6390,175,56.5
6391,168,53.5
6392,167,56.0
6393,176,60.5
6394,167,49.5
6395,165,46.5
6396,172,53.5
6397,180,67.5
6398,176,55.0
6399,174,72.0
6400,173,60.5
6401,176,55.5
6402,179,64.0
6403,177,63.5
6404,176,56.5
6405,174,63.5
6406,158,43.0
6407,178,67.0
6408,173,66.5
6409,176,50.5
6410,178,57.5
6411,173,62.5
6412,176,59.0
6413,169,64.0
6414,173,56.0
6415,176,59.5
6416,173,52.0
6417,173,52.5
6418,174,46.5
6419,171,47.0
6420,174,58.0
6421,165,51.0
6422,163,50.5
6423,172,46.0
6424,169,58.5
6425,175,60.0
6426,174,56.0
6427,171,55.5
6428,169,56.0
6429,170,54.5
6430,173,63.5
6431,167,52.5
6432,172,62.5
6433,174,61.0
6434,176,59.5
6435,170,62.5
6436,167,47.0
6437,172,63.0
6438,174,51.0
6439,165,42.0
6440,172,54.5
6441,171,57.5
6442,169,55.5
6443,178,61.5
6444,172,59.5
6445,167,55.0
6446,171,54.0
6447,170,55.0
6448,173,62.0
6449,166,50.0
6450,170,58.0
6451,169,59.5
6452,167,54.0
6453,168,55.5
6454,173,62.0
6455,161,51.5
6456,178,56.0
6457,177,59.0
6458,172,54.0
6459,176,50.5
6460,171,52.5
6461,180,66.5
6462,181,64.0
6463,174,51.0
6464,165,54.5
6465,173,62.5
6466,168,55.5
6467,171,55.5
6468,177,61.0
6469,174,55.0
6470,175,59.5
6471,174,53.0
6472,178,61.5
6473,172,59.5
6474,170,58.5
6475,171,55.0
6476,174,62.5
6477,168,50.5
6478,167,47.5
6479,174,54.0
6480,177,65.0
6481,169,49.0
6482,156,45.5
6483,166,52.0
6484,174,58.0
6485,170,53.5
6486,183,70.0
6487,174,55.0
6488,178,64.5
6489,169,51.0
6490,171,55.0
6491,166,55.0
6492,170,57.5
6493,172,49.0
6494,178,69.0
6495,168,58.0
6496,170,66.0
6497,174,53.5
6498,172,61.5
6499,169,59.5
6500,172,58.0
6501,173,56.0
6502,172,62.0
6503,170,62.5
6504,172,64.0
6505,167,49.5
6506,166,46.5
6507,179,74.5
6508,175,54.0
6509,174,57.5
6510,168,61.0
6511,173,55.0
6512,168,62.0
6513,179,67.0
6514,169,57.0
6515,169,52.5
6516,177,64.0
6517,172,49.0
6518,169,44.5
6519,174,54.0
6520,175,51.0
6521,174,66.5
6522,181,60.5
6523,178,69.0
6524,168,59.0
6525,177,70.5
6526,171,63.5
6527,169,54.0
6528,178,62.5
6529,172,48.5
6530,170,49.0
6531,180,53.5
6532,169,59.0
6533,166,48.0
6534,171,52.0
6535,163,47.0
6536,171,53.0
6537,180,58.5
6538,176,58.5
6539,167,54.0
6540,175,58.0
6541,174,60.5
6542,166,55.0
6543,168,50.0
6544,176,59.0
6545,177,54.0
6546,169,55.5
6547,176,59.5
6548,168,47.0
6549,172,61.0
6550,168,59.0
6551,177,49.5
6552,173,54.5
6553,164,52.0
6554,168,60.0
6555,178,54.5
6556,174,60.5
6557,178,62.0
6558,175,58.5
6559,174,65.0
6560,174,60.5
6561,173,65.0
6562,173,53.0
6563,167,53.5
6564,183,56.5
6565,170,54.0
6566,171,56.0
6567,170,57.5
6568,173,62.5
6569,169,59.0
6570,163,51.5
6571,166,50.5
6572,182,66.5
6573,174,58.0
6574,165,52.5
6575,176,58.5
6576,179,57.0
6577,185,57.5
6578,179,59.5
6579,167,60.0
6580,177,58.5
6581,167,50.0
6582,165,48.0
6583,179,59.0
6584,181,60.0
6585,168,56.0
6586,167,55.0
6587,177,63.0
6588,174,61.5
6589,175,46.0
6590,175,55.5
6591,170,54.0
6592,174,63.5
6593,181,62.0
6594,166,55.5
6595,175,61.0
6596,175,56.0
6597,167,58.0
6598,176,60.0
6599,163,52.0
6600,185,60.5
6601,169,64.5
6602,167,54.0
6603,175,60.0
6604,173,57.0
6605,174,59.5
6606,174,54.0
6607,171,58.0
6608,162,52.0
6609,167,56.0
6610,175,62.0
6611,177,54.0
6612,170,49.0
6613,164,56.0
6614,174,53.0
6615,172,54.5
6616,177,48.5
6617,179,61.0
6618,181,64.5
6619,179,60.0
6620,171,53.5
6621,179,61.0
6622,175,62.0
6623,175,63.5
6624,168,57.5
6625,173,62.5
6626,173,57.0
6627,174,61.0
6628,187,65.0
6629,168,56.5
6630,177,61.0
6631,169,51.0
6632,176,54.5
6633,166,57.5
6634,173,55.5
6635,168,52.0
6636,167,62.5
6637,179,55.5
6638,170,58.5
6639,175,55.5
6640,175,63.5
6641,174,62.5
6642,178,56.5
6643,162,62.0
6644,176,56.5
6645,174,56.5
6646,172,67.0
6647,174,55.0
6648,168,61.0
6649,177,66.0
6650,177,58.5
6651,178,67.5
6652,167,54.0
6653,171,55.0
6654,170,48.0
6655,172,64.5
6656,177,65.0
6657,175,54.5
6658,181,64.5
6659,175,59.0
6660,173,58.5
6661,185,58.5
6662,172,51.5
6663,166,53.0
6664,164,52.5
6665,174,55.0
6666,168,52.0
6667,169,49.5
6668,170,46.5
6669,173,59.5
6670,177,64.5
6671,167,62.5
6672,169,55.5
6673,161,54.5
6674,171,52.5
6675,164,52.0
6676,172,61.0
6677,177,56.0
6678,184,60.5
6679,174,61.5
6680,173,53.5
6681,169,56.5
6682,170,61.0
6683,174,57.5
6684,173,53.5
6685,172,53.0
6686,176,67.5
6687,172,55.5
6688,179,58.5
6689,169,55.5
6690,178,61.0
6691,175,64.0
6692,172,52.5
6693,168,55.5
6694,178,67.5
6695,170,58.0
6696,178,61.5
6697,177,58.5
6698,172,51.5
6699,168,53.5
6700,165,54.5
6701,170,50.5
6702,170,55.5
6703,180,68.0
6704,175,57.5
6705,169,63.5
6706,167,47.0
6707,178,58.5
6708,173,65.0
6709,166,52.5
6710,167,59.5
6711,170,61.0
6712,169,62.5
6713,178,62.0
6714,183,66.0
6715,176,65.0
6716,170,54.5
6717,175,55.5
6718,172,56.5
6719,177,48.5
6720,169,62.0
6721,175,67.5
6722,176,62.0
6723,176,62.5
6724,170,63.5
6725,169,53.0
6726,173,60.5
6727,179,61.0
6728,170,53.5
6729,181,65.5
6730,163,54.5
6731,176,66.0
6732,171,51.5
6733,178,51.0
6734,167,56.0
6735,169,55.5
6736,172,54.0
6737,181,60.5
6738,164,58.0
6739,171,55.5
6740,174,60.0
6741,177,56.5
6742,178,50.5
6743,168,56.0
6744,171,47.0
6745,168,56.0
6746,171,64.5
6747,174,59.0
6748,183,62.0
6749,174,54.5
6750,170,55.5
6751,173,62.5
6752,173,54.5
6753,172,50.0
6754,170,59.5
6755,168,57.0
6756,178,63.0
6757,186,63.0
6758,168,60.0
6759,171,58.0
6760,162,58.0
6761,181,62.5
6762,175,59.5
6763,166,57.5
6764,185,65.5
6765,170,56.0
6766,172,59.0
6767,170,66.0
6768,159,52.5
6769,174,54.5
6770,168,51.0
6771,173,58.0
6772,174,62.5
6773,173,55.5
6774,179,60.0
6775,181,61.5
6776,180,60.5
6777,173,56.0
6778,167,57.0
6779,171,59.5
6780,175,65.0
6781,180,62.5
6782,175,66.5
6783,170,60.5
6784,172,56.0
6785,174,58.5
6786,168,55.5
6787,175,58.0
6788,173,64.0
6789,175,62.5
6790,171,59.0
6791,165,59.5
6792,178,66.5
6793,166,44.0
6794,170,54.5
6795,173,56.5
6796,175,66.0
6797,176,53.0
6798,176,57.5
6799,173,51.0
6800,178,64.0
6801,174,56.5
6802,168,57.0
6803,178,55.5
6804,168,53.5
6805,167,53.0
6806,173,53.0
6807,180,67.0
6808,170,60.0
6809,170,60.0
6810,179,61.0
6811,172,54.5
6812,175,62.0
6813,163,52.0
6814,183,62.5
6815,172,60.5
6816,169,57.5
6817,176,59.0
6818,166,55.5
6819,169,50.5
6820,177,58.0
6821,175,54.5
6822,172,55.5
6823,180,66.0
6824,173,52.5
6825,175,62.5
6826,180,62.5
6827,168,52.0
6828,173,62.0
6829,181,67.5
6830,178,54.0
6831,171,53.5
6832,180,69.0
6833,176,58.5
6834,170,56.5
6835,172,53.5
6836,168,45.5
6837,178,55.0
6838,177,62.0
6839,177,58.5
6840,169,59.0
6841,172,52.5
6842,177,62.5
6843,174,48.5
6844,169,54.0
6845,171,57.5
6846,176,61.5
6847,177,58.0
6848,181,58.0
6849,165,55.0
6850,167,45.5
6851,175,52.5
6852,170,56.5
6853,175,56.5
6854,165,51.0
6855,179,60.0
6856,165,48.5
6857,174,54.5
6858,165,56.0
6859,175,61.0
6860,173,57.0
6861,178,60.5
6862,174,60.5
6863,182,65.5
6864,172,64.0
6865,183,67.0
6866,165,52.0
6867,173,53.5
6868,175,64.0
6869,174,61.0
6870,171,50.0
6871,173,48.5
6872,176,55.5
6873,169,53.5
6874,176,57.0
6875,177,58.0
6876,176,69.5
6877,182,56.5
6878,170,48.5
6879,173,60.5
6880,179,56.5
6881,180,60.0
6882,183,62.5
6883,166,59.0
6884,171,53.5
6885,170,61.0
6886,183,56.0
6887,173,58.5
6888,176,68.5
6889,172,57.5
6890,169,52.0
6891,176,60.5
6892,175,62.0
6893,170,63.5
6894,177,58.0
6895,177,54.0
6896,170,59.5
6897,178,56.5
6898,173,64.0
6899,170,50.5
6900,163,59.5
6901,176,60.5
6902,179,60.5
6903,172,52.5
6904,173,58.0
6905,180,62.0
6906,172,61.5
6907,173,53.5
6908,180,58.0
6909,175,56.5
6910,168,63.5
6911,178,59.0
6912,170,52.5
6913,179,63.0
6914,168,60.0
6915,174,54.5
6916,173,53.5
6917,172,60.0
6918,158,45.5
6919,169,51.0
6920,172,58.0
6921,178,58.0
6922,182,67.5
6923,175,54.0
6924,175,57.0
6925,174,57.5
6926,164,52.5
6927,173,59.0
6928,180,58.5
6929,172,56.5
6930,164,55.5
6931,170,55.0
6932,183,57.0
6933,172,57.5
6934,179,60.5
6935,177,62.0
6936,175,51.0
6937,180,66.5
6938,175,57.0
6939,163,45.5
6940,171,60.0
6941,168,64.5
6942,156,54.0
6943,175,56.0
6944,175,58.5
6945,167,59.0
6946,175,66.5
6947,170,46.5
6948,170,55.5
6949,165,51.5
6950,178,61.0
6951,178,62.0
6952,174,58.0
6953,169,51.0
6954,180,63.5
6955,160,46.0
6956,178,61.0
6957,172,61.0
6958,172,56.5
6959,170,51.5
6960,179,57.5
6961,171,63.0
6962,172,61.5
6963,177,61.0
6964,183,67.0
6965,176,56.5
6966,170,58.5
6967,165,57.5
6968,172,53.5
6969,173,59.5
6970,171,59.0
6971,169,56.0
6972,168,50.5
6973,181,68.5
6974,180,63.0
6975,176,56.0
6976,184,61.5
6977,169,59.5
6978,178,67.5
6979,179,59.0
6980,171,51.5
6981,170,65.0
6982,177,60.5
6983,165,56.0
6984,177,59.5
6985,175,63.0
6986,177,55.0
6987,168,61.0
6988,172,49.0
6989,169,55.5
6990,171,64.0
6991,165,51.5
6992,175,52.0
6993,171,57.5
6994,175,55.5
6995,174,53.5
6996,172,51.0
6997,172,50.0
6998,172,61.0
6999,168,56.5
7000,170,45.5
7001,170,55.5
7002,174,63.5
7003,169,56.0
7004,174,62.5
7005,172,59.5
7006,179,67.5
7007,172,58.0
7008,166,49.0
7009,170,54.0
7010,175,61.5
7011,169,59.0
7012,172,62.5
7013,167,50.5
7014,168,50.0
7015,171,63.0
7016,173,53.5
7017,171,53.5
7018,169,63.5
7019,180,63.5
7020,174,48.5
7021,178,56.0
7022,174,59.0
7023,176,57.5
7024,169,64.0
7025,169,48.5
7026,175,61.5
7027,176,52.5
7028,162,48.5
7029,171,57.0
7030,169,57.5
7031,173,56.5
7032,169,59.0
7033,173,58.5
7034,181,62.0
7035,183,57.5
7036,169,52.5
7037,168,55.5
7038,172,55.0
7039,170,56.0
7040,170,62.5
7041,175,64.5
7042,176,64.0
7043,171,53.5
7044,174,53.0
7045,165,61.0
7046,172,58.5
7047,169,58.0
7048,175,50.0
7049,173,67.0
7050,177,56.5
7051,181,70.0
7052,174,63.0
7053,171,53.5
7054,182,59.0
7055,165,49.5
7056,167,55.0
7057,176,60.0
7058,171,55.5
7059,164,53.5
7060,169,56.0
7061,176,58.0
7062,173,54.5
7063,168,60.0
7064,175,70.0
7065,166,52.0
7066,174,55.0
7067,165,50.5
7068,173,53.0
7069,174,63.5
7070,175,53.5
7071,169,53.0
7072,166,45.0
7073,169,56.0
7074,171,60.0
7075,171,48.5
7076,174,57.0
7077,176,63.5
7078,175,57.5
7079,174,60.0
7080,177,57.5
7081,170,53.0
7082,174,51.5
7083,170,52.0
7084,170,49.5
7085,175,62.5
7086,175,55.5
7087,169,55.0
7088,179,63.5
7089,164,53.5
7090,172,68.0
7091,179,63.0
7092,179,62.5
7093,169,51.5
7094,166,53.0
